ANIMAL;SEXO;IDADE;PESO;BICO;CIRCFCABECA;PESCOCO;ASA;TULIPA;DORSO;VENTRE;CIRCFABDOM;SOBRECOXA;COXA;CANELA;UNHAMAIOR;DATA_MEDICAO;DEDOMAIOR;PESO_ANTERIOR;GANHO_PESO
168;Fêmea;101.0;1650.0;2.4;12.6;16.1;16.2;7.1;45.4;39.1;34.5;13.3;12.1;7.7;;13-09-2024;8.0;1320.0;330.0
170;Macho;101.0;1250.0;3.2;14.5;15.5;13.5;9.5;38.0;37.0;38.0;13.0;11.5;9.0;;13-09-2024;6.4;1185.0;65.0
172;Macho;101.0;1250.0;2.6;13.5;19.8;14.5;7.6;47.6;42.2;41.6;11.4;14.2;9.3;;13-09-2024;8.5;1100.0;150.0
175;Macho;101.0;1205.0;2.5;13.0;19.0;15.0;7.0;47.0;41.0;40.0;11.5;13.0;8.5;;13-09-2024;6.0;1115.0;90.0
176;Macho;101.0;1350.0;2.0;13.8;17.9;17.0;19.0;51.0;39.0;32.0;12.0;11.0;6.0;;13-09-2024;7.0;1195.0;155.0
178;Fêmea;101.0;1270.0;2.6;12.5;16.7;15.7;6.6;43.0;35.9;38.5;13.5;11.4;6.8;;13-09-2024;7.3;1220.0;50.0
179;Macho;101.0;1430.0;3.2;12.7;17.5;15.0;7.0;45.0;34.0;35.5;12.0;13.0;8.5;;13-09-2024;5.3;1285.0;145.0
180;Macho;101.0;1145.0;3.0;13.0;19.0;16.0;19.0;46.0;50.0;33.0;11.0;14.0;7.0;;13-09-2024;8.0;985.0;160.0
182;Macho;101.0;1270.0;2.5;13.0;20.0;15.0;7.0;46.0;42.0;37.0;12.0;14.0;8.0;;13-09-2024;6.0;1145.0;125.0
183;Fêmea;101.0;1415.0;2.1;12.9;18.7;13.1;4.9;48.2;46.6;35.5;11.2;11.6;9.1;;13-09-2024;6.0;1160.0;255.0
185;Macho;101.0;1205.0;2.8;14.0;17.0;16.5;6.5;46.0;41.0;37.0;13.0;13.0;8.0;;13-09-2024;7.5;1240.0;-35.0
186;Macho;101.0;1200.0;3.5;14.0;20.0;16.0;7.0;46.0;39.0;39.5;13.0;13.5;9.0;;13-09-2024;5.5;1095.0;105.0
196;Fêmea;101.0;1190.0;2.6;12.0;23.7;15.1;5.0;47.1;48.1;35.5;9.0;12.6;8.3;;13-09-2024;7.1;1020.0;170.0
197;Macho;101.0;1310.0;2.5;13.0;19.0;15.0;7.0;45.0;42.0;42.0;12.0;13.0;8.0;;13-09-2024;5.5;1085.0;225.0
198;Fêmea;101.0;1530.0;2.6;13.8;16.7;14.2;7.2;41.3;38.7;37.4;13.8;10.1;6.8;;13-09-2024;8.2;1320.0;210.0
199;Fêmea;101.0;1215.0;2.8;12.5;16.0;17.0;7.0;44.0;36.0;36.0;11.0;13.0;8.0;;13-09-2024;6.0;1040.0;175.0
200;Macho;101.0;1230.0;3.2;14.3;20.0;14.5;7.0;44.5;43.0;37.3;12.0;12.5;8.0;;13-09-2024;6.5;1090.0;140.0
201;Fêmea;101.0;1205.0;3.0;13.0;18.0;16.0;6.0;43.0;38.0;38.0;12.0;12.0;9.0;;13-09-2024;5.5;1105.0;100.0
202;Macho;101.0;1180.0;2.3;12.2;23.2;15.1;5.5;46.6;43.1;32.5;8.5;12.1;9.3;;13-09-2024;8.0;1125.0;55.0
204;Fêmea;101.0;1405.0;2.3;13.6;20.4;16.7;6.6;40.9;39.1;38.8;7.6;11.2;8.1;;13-09-2024;7.0;1185.0;220.0
205;Macho;101.0;915.0;2.8;13.8;21.1;16.8;8.6;48.6;41.6;37.3;13.4;12.6;8.5;;13-09-2024;9.2;785.0;130.0
206;Macho;101.0;1490.0;2.5;13.5;18.0;16.0;7.2;53.0;38.0;37.5;10.0;12.5;8.0;;13-09-2024;5.0;1430.0;60.0
207;Fêmea;101.0;1490.0;2.6;14.5;18.5;16.1;8.6;43.8;35.1;34.5;10.6;13.8;6.8;;13-09-2024;7.6;1370.0;120.0
211;Macho;101.0;1450.0;2.6;14.0;18.0;14.0;9.0;42.0;36.0;36.0;12.0;12.0;9.5;;13-09-2024;7.3;940.0;510.0
212;Macho;101.0;995.0;2.7;14.8;25.0;16.7;7.6;45.1;42.6;37.4;12.4;13.1;9.0;;13-09-2024;8.2;1300.0;-305.0
213;Macho;101.0;1420.0;2.4;12.5;21.0;16.0;8.4;47.5;42.5;34.0;9.2;15.5;8.5;;13-09-2024;7.4;1340.0;80.0
214;Fêmea;101.0;1430.0;2.5;13.0;16.0;15.5;7.0;41.0;38.0;37.0;12.0;13.0;8.0;;13-09-2024;5.5;1175.0;255.0
216;Fêmea;101.0;1225.0;2.3;12.4;21.5;14.5;6.3;45.5;47.4;33.2;11.3;12.7;7.7;;13-09-2024;6.9;1045.0;180.0
218;Fêmea;101.0;1565.0;2.2;13.1;22.5;14.5;6.8;43.5;46.1;34.1;11.2;12.0;8.3;;13-09-2024;7.5;1430.0;135.0
221;Fêmea;101.0;1280.0;3.0;12.5;20.0;16.0;9.0;46.0;49.0;40.0;42.0;42.0;7.0;;13-09-2024;7.8;1020.0;260.0
222;Fêmea;101.0;1105.0;2.4;13.0;17.0;15.0;6.0;45.0;36.0;34.0;10.0;11.0;8.0;;13-09-2024;5.0;1055.0;50.0
223;Macho;101.0;1255.0;3.0;12.5;16.0;15.0;6.0;43.0;40.0;34.0;12.0;12.0;7.0;;13-09-2024;6.0;1135.0;120.0
224;Fêmea;101.0;1355.0;2.6;13.0;18.0;15.0;7.0;41.0;41.0;36.0;11.0;12.0;7.0;;13-09-2024;5.0;1260.0;95.0
225;Macho;101.0;1430.0;2.5;14.0;20.0;16.0;8.0;49.0;39.0;39.0;12.0;14.0;9.0;;13-09-2024;5.0;1420.0;10.0
226;Macho;101.0;1030.0;2.5;14.0;17.5;15.6;7.5;42.5;40.2;35.0;12.0;13.5;9.0;;13-09-2024;8.5;875.0;155.0
229;Fêmea;101.0;1470.0;2.2;13.0;20.6;14.6;5.5;48.3;42.3;38.5;12.3;11.5;8.8;;13-09-2024;6.8;1275.0;195.0
230;Macho;101.0;1390.0;2.4;13.0;18.5;17.5;7.5;47.5;23.0;25.5;12.0;14.0;9.0;;13-09-2024;7.8;1270.0;120.0
231;Macho;101.0;1325.0;2.6;13.7;17.0;16.1;8.5;42.0;35.5;36.0;13.5;11.0;9.0;;13-09-2024;8.0;1175.0;150.0
233;Fêmea;101.0;1225.0;2.8;13.3;18.6;15.8;8.0;44.3;39.9;32.3;12.0;10.8;7.6;;13-09-2024;7.8;1125.0;100.0
