ANIMAL;SEXO;IDADE;PESO;BICO;CIRCFCABECA;PESCOCO;ASA;TULIPA;DORSO;VENTRE;CIRCFABDOM;SOBRECOXA;COXA;CANELA;UNHAMAIOR
97;Femea;14;171.0;1.7;8.0;6.0;7.0;4.6;20.5;18.2;13.4;5.8;5.7;3.2;3.7
103;Macho;14;175.0;1.1;7.2;8.1;7.3;4.0;20.3;20.4;12.3;5.0;6.4;3.6;3.9
108;Femea;14;141.0;1.8;7.6;6.1;7.0;3.5;19.5;14.0;13.3;4.3;5.5;3.2;3.5
110;Femea;14;163.0;1.0;7.5;6.5;7.0;3.1;18.9;19.8;12.2;4.2;3.8;3.3;3.4
129;Macho;14;170.0;1.5;7.6;5.0;9.2;3.6;21.0;17.0;12.3;5.7;5.6;3.8;2.7
136;Macho;14;184.0;1.6;8.0;6.5;6.0;3.3;19.6;11.7;14.0;5.0;4.5;3.9;3.9
138;Macho;14;193.0;1.8;8.4;8.0;6.7;4.0;21.4;20.3;13.2;4.6;5.4;3.7;4.1
140;Femea;14;205.0;1.5;8.0;6.5;7.0;2.5;20.5;19.5;15.5;4.5;4.5;4.0;4.0
144;Macho;14;184.0;1.5;8.0;5.9;6.6;3.0;21.0;16.0;13.5;4.3;5.8;4.0;3.4
146;Femea;14;220.0;1.5;8.8;7.7;8.2;4.5;20.2;22.5;16.5;5.0;6.9;4.8;4.6
156;Femea;14;176.0;1.0;6.9;5.7;6.7;4.4;18.4;16.4;12.5;4.4;5.0;3.1;2.8
177;Macho;14;159.0;1.2;7.7;4.6;8.4;4.4;19.0;19.6;11.3;3.7;4.8;3.1;2.9
179;Macho;14;180.0;1.7;7.7;5.2;10.7;5.0;17.9;18.9;12.5;4.1;5.6;3.9;2.9
182;Femea;14;191.0;1.0;7.5;5.5;6.5;3.5;17.5;17.0;12.0;4.5;4.5;2.5;3.5
184;Macho;14;175.0;1.6;7.5;7.0;7.2;3.0;19.0;17.4;17.0;5.0;4.2;3.7;3.0
187;Femea;14;158.0;1.0;6.9;3.8;4.6;2.4;13.2;13.5;8.0;3.0;3.6;1.4;1.6
198;Femea;14;184.0;1.9;8.0;5.0;6.0;2.8;20.5;19.5;13.9;5.8;4.5;3.4;2.6
202;Macho;14;152.0;1.3;8.0;6.0;7.5;3.5;20.0;18.5;13.0;3.5;4.0;3.5;3.5
205;Macho;14;152.0;1.8;7.6;4.4;9.9;4.5;18.0;18.4;11.5;4.3;5.0;3.9;3.0
212;Macho;14;188.0;2.0;7.7;4.7;11.0;4.6;22.4;19.9;13.0;5.0;5.7;4.0;3.5
218;Femea;14;183.0;1.6;7.4;4.3;9.1;4.4;18.5;20.5;12.8;4.5;5.2;3.2;3.1
1;Macho;21;326.0;1.8;9.0;6.6;11.5;5.1;22.9;22.4;15.6;6.8;7.0;4.0;3.2
