ANIMAL;SEXO;IDADE;PESO;BICO;CIRCFCABECA;PESCOCO;ASA;TULIPA;DORSO;VENTRE;CIRCFABDOM;SOBRECOXA;COXA;CANELA;UNHAMAIOR
108;Femea;0;33;1.0;6.1;4.3;2.9;1.7;10.0;10.3;8.1;3.6;3.9;2.0;1.5
109;Macho;0;37;0.9;6.5;3.3;3.2;2.8;12.5;9.9;8.2;2.5;2.7;2.3;2.5
110;Femea;0;35;0.8;6.8;4.2;2.6;1.8;12.3;11.7;9.6;3.9;3.9;2.6;2.3
112;Femea;0;28;0.4;6.4;4.9;2.9;0.7;10.1;9.7;7.8;2.6;4.0;2.4;1.5
113;Femea;0;25;1.0;6.5;6.3;4.3;2.0;11.5;11.1;5.7;2.5;2.7;2.1;2.6
119;Femea;0;27;1.2;6.7;3.3;2.7;2.0;12.6;13.0;8.4;3.3;4.0;2.8;2.2
120;Macho;0;25;1.3;6.6;4.9;2.9;2.3;11.0;11.1;7.3;2.0;2.8;2.0;1.9
121;Femea;0;33;0.5;6.5;2.4;4.2;1.3;11.8;11.3;7.7;2.5;3.0;1.8;1.4
122;Femea;0;36;1.3;5.8;4.7;3.3;1.7;12.8;11.5;10.5;3.4;3.3;3.1;2.1
124;Macho;0;37;1.3;6.7;3.0;4.0;1.3;13.0;11.2;8.3;2.0;3.0;2.0;1.4
125;Macho;0;29;1.2;6.6;3.3;4.0;1.7;10.7;11.1;8.4;3.2;4.5;2.5;2.2
126;Femea;0;33;1.1;6.5;4.8;3.8;1.2;12.4;11.8;8.7;2.9;3.2;2.4;2.4
128;Macho;0;31;0.9;6.2;4.0;3.0;1.8;12.1;11.8;8.4;3.5;3.4;2.6;2.4
128;Macho;0;29;1.2;6.3;4.2;3.3;1.3;13.5;12.4;8.1;2.9;3.3;2.2;2.4
131;Femea;0;28;0.9;7.4;6.0;4.2;2.1;13.0;14.2;8.1;3.4;2.8;2.3;2.7
132;Macho;0;31;1.2;6.2;4.8;2.1;1.9;11.3;11.9;6.9;2.4;3.1;2.2;2.5
133;Macho;0;25;1.5;6.4;6.3;3.9;2.0;12.2;12.5;8.6;2.7;3.1;2.2;2.9
134;Macho;0;29;1.1;6.4;3.7;3.1;2.0;12.7;12.0;7.7;3.2;3.2;2.2;2.1
135;Macho;0;38;1.0;6.3;5.7;2.6;2.0;13.0;12.2;7.5;3.1;3.6;2.7;2.3
136;Femea;0;32;1.4;6;5.0;3.3;2.0;12.5;11.3;7.6;2.6;2.9;2.3;2.0
137;Macho;0;34;1.0;6.5;4.8;3.4;1.1;13.3;10.9;7.8;3.0;3.5;2.3;1.7
138;Femea;0;35;1.1;6.6;5.0;3.1;1.5;13.7;11.6;9.4;3.0;3.2;2.3;2.3
139;Femea;0;33;0.8;6.7;4.8;3.6;2.2;12.6;11.8;8.5;3.3;4.1;2.3;2.7
141;Macho;0;29;1.2;6.8;3.8;3.1;2.0;13.2;11.4;9.9;3.4;3.4;2.5;2.6
142;Macho;0;29;1.1;7;3.9;3.4;2.0;12.3;12.2;7.4;2.7;2.6;2.2;2.3
143;Macho;0;34;1.3;5.8;4.3;4.3;3.0;12.9;13.1;8.9;4.0;3.9;2.0;2.1
145;Femea;0;33;1.0;5.8;4.6;3.9;1.2;12.7;12.6;7.6;3.2;3.0;2.7;2.0
146;Femea;0;38;1.3;5.8;3.8;3.4;1.0;12.1;11.4;7.3;2.4;2.7;2.5;2.1
147;Macho;0;26;1.1;6.1;4.2;3.1;2.8;12.0;11.8;8.1;2.8;3.2;2.0;1.9
148;Femea;0;33;0.8;5.5;4.1;2.6;1.5;11.4;11.4;7.5;2.8;3.1;2.3;1.7
149;Macho;0;31;1.4;6.4;6.3;2.7;2.0;12.5;12.6;8.7;3.2;3.9;2.0;2.3
150;Macho;0;34;1.0;6.9;4.1;4.0;1.7;12.3;12.4;9.0;3.3;4.2;2.5;2.2
152;Femea;0;28;0.9;6.6;3.8;3.7;0.9;11.9;11.1;7.9;3.0;2.6;1.7;2.1
153;Femea;0;33;1.3;6.6;3.1;3.1;2.9;12.1;9.9;9.1;2.6;2.6;2.3;1.5
154;Macho;0;30;0.8;6.7;4.7;3.7;1.8;12.9;118.0;7.5;2.2;3.4;2.2;2.6
155;Femea;0;34;1.6;8.2;4.4;4.3;3.5;13.4;14.1;11.7;4.1;4.2;3.3;2.2
156;Macho;0;29;1.3;6.6;4.8;2.8;1.6;12.9;11.4;10.0;3.1;3.3;2.5;2.1
157;Macho;0;33;1.2;6.6;7.0;4.0;2.9;13.8;13.5;7.4;2.9;2.9;2.0;2.5
158;Macho;0;35;1.0;6.5;3.2;4.5;2.1;12.9;10.9;9.1;3.0;3.2;2.3;2.0
159;Macho;0;35;1.0;6.6;3.7;4.3;2.1;13.3;12.5;10.2;2.3;3.6;2.3;2.3
160;Macho;0;30;1.2;7.1;4.1;2.8;1.9;13.8;12.8;8.3;2.8;3.4;2.1;2.7
161;Macho;0;28;1.2;6.2;4.7;3.8;1.8;12.7;11.7;7.0;3.4;2.7;2.2;2.6
162;Femea;0;33;0.9;6.6;3.4;3.1;1.7;12.3;11.2;8.4;2.8;2.8;2.3;2.0
163;Macho;0;30;1.3;6.5;5.0;4.1;2.5;12.0;11.8;7.7;3.5;2.4;2.1;2.6
164;Macho;0;39;1.2;6.4;4.1;3.0;1.1;12.9;9.7;8.0;3.3;3.5;2.4;1.8
165;Macho;0;32;0.8;6.6;3.6;5.0;1.2;13.6;12.3;9.2;2.2;3.3;2.4;1.9
166;Femea;0;38;1.1;5.8;3.9;3.4;1.2;11.3;10.4;7.4;2.6;3.4;2.5;2.0
167;Macho;0;33;1.4;6.6;6.0;4.5;2.3;12.2;13.0;7.5;2.2;3.0;2.5;3.0
168;Femea;0;43;0.9;6.3;4.2;3.5;1.1;13.0;13.3;9.8;3.3;3.5;1.9;2.6
169;Macho;0;33;1.3;7.2;3.8;3.4;2.7;14.2;12.4;8.1;3.2;3.7;2.0;2.2
171;Macho;0;31;1.0;6.2;3.1;4.2;1.9;13.6;14.6;8.3;2.3;3.5;2.2;2.2
172;Femea;0;36;0.9;6;4.4;3.0;1.2;11.3;11.2;9.5;2.7;3.9;2.8;1.4
175;Macho;0;34;1.1;5.5;5.0;3.5;1.7;13.3;12.7;7.8;2.8;3.8;2.7;1.8
176;Macho;0;32;1.2;6.6;4.2;4.6;1.3;13.6;11.7;7.1;3.0;3.1;2.5;2.5
178;Macho;0;35;1.4;6.5;3.3;2.5;1.6;11.8;11.8;10.0;2.8;3.4;2.4;3.0
179;Macho;0;30;1.2;7.2;6.0;4.2;3.0;13.0;12.7;8.3;2.8;2.9;2.2;2.6
180;Macho;0;29;0.8;5.8;3.5;2.2;1.7;13.5;12.7;8.5;3.1;4.0;2.6;2.0
181;Macho;0;29;1.2;6.4;4.9;4.0;2.1;13.3;12.9;7.6;2.9;2.9;2.2;3.1
182;Femea;0;31;1.0;5.2;5.4;3.3;1.2;12.0;11.5;7.7;2.6;3.5;2.3;2.3
183;Macho;0;31;0.8;6.4;6.2;3.5;2.9;12.0;12.5;7.8;2.5;2.7;2.8;2.6
185;Macho;0;33;0.9;6.1;4.0;4.0;1.2;13.4;11.5;8.0;2.6;2.7;1.9;2.1
186;Femea;0;30;0.9;6.3;2.4;4.3;0.9;11.9;10.0;7.7;2.7;3.0;2.1;2.1
188;Macho;0;34;1.0;6.3;3.2;4.2;1.3;11.9;11.2;8.5;2.7;3.0;2.6;2.1
189;Macho;0;34;1.8;6.1;6.4;3.3;2.3;11.6;12.5;8.9;3.4;3.3;2.5;2.2
191;Femea;0;32;1.5;6.7;5.1;4.3;2.5;14.3;14.5;7.1;2.9;3.2;2.6;2.6
192;Macho;0;30;1.2;5.7;5.0;3.4;1.7;10.4;10.9;7.6;2.3;1.8;1.5;1.2
193;Macho;0;31;1.1;5.9;7.1;4.0;2.1;10.9;11.0;7.5;2.1;4.3;2.8;2.8
195;Femea;0;31;1.0;6.9;4.3;5.0;1.6;13.3;11.7;8.9;2.5;3.1;1.9;3.0
196;Macho;0;32;1.3;6.7;5.5;3.2;2.4;11.9;12.5;8.9;2.8;3.0;3.0;2.6
197;Femea;0;39;0.4;7;4.9;2.9;2.4;12.8;12.4;7.6;4.0;4.0;2.7;2.6
199;Macho;0;33;1.0;7;4.1;3.5;2.1;13.5;12.0;9.4;3.2;3.3;2.5;1.8
200;Femea;0;34;0.7;6.7;3.3;3.4;1.7;13.3;11.7;7.5;2.3;2.7;1.7;2.2
201;Macho;0;35;1.3;6.1;3.7;3.8;2.0;13.8;12.7;7.1;2.7;2.8;2.4;2.2
