ANIMAL;SEXO;IDADE;PESO;BICO;CIRCFCABECA;PESCOCO;ASA;TULIPA;DORSO;VENTRE;CIRCFABDOM;SOBRECOXA;COXA;CANELA;UNHAMAIOR
140;Femea;7;92;1.3;7.2;7.2;6.3;3.5;16.0;15.2;11.2;4.3;3.7;2.9;3.1
144;Macho;7;92;1.2;7.8;8.3;6.3;3.2;15.5;15.6;11.3;3.6;4.6;3.4;2.6
151;Macho;7;90;1.7;7.9;3.6;5.3;3.0;16.2;15.2;13.0;3.2;3.9;3.2;2.8
170;Macho;7;93;1.7;8.7;5.4;3.7;2.8;16.0;15.6;10.4;4.3;3.8;2.3;3.2
174;Macho;7;86;1.6;7.3;6.6;6.6;3.6;15.0;15.6;10.4;4.8;5.1;3.8;3.8
177;Macho;7;69;1.3;6.3;4.1;4.3;2.1;13.6;13.6;8.6;3.1;4.0;2.5;2.5
184;Macho;7;103;1.6;7.9;4.3;5.0;2.9;14.0;14.2;13.0;4.2;3.5;2.9;2.3
187;Femea;7;36;0.8;7.4;4.1;2.1;1.5;11.0;11.5;8.0;2.6;2.2;2.2;2.4
190;Macho;7;99;1.8;7.8;4.5;5.9;2.3;15.4;15.7;11.5;5.5;4.4;3.6;2.9
194;Macho;7;82;0.9;7.8;7.0;6.8;2.3;14.0;14.2;10.3;4.1;3.9;2.7;2.2
204;Femea;7;93;1.3;7.6;6.1;4.2;3.2;15.8;15.4;11.2;4.9;3.7;2.4;2.5
209;Macho;7;96;1.6;8.2;4.2;4.6;2.5;13.4;14.5;11.9;4.3;4.1;3.2;2.9
210;Macho;7;89;1.4;7.2;5.8;5.4;2.2;15.8;14.4;9.4;3.9;4.3;3.0;2.2
212;Macho;7;101;1.2;7.2;7.6;5.2;2.3;15.7;16.4;10.9;3.5;3.8;2.9;3.1
217;Macho;7;66;1.4;5.9;5.3;4.8;2.9;14.2;12.0;8.3;3.4;4.1;3.1;2.9
224;Femea;7;81;1.5;6;6.0;5.6;3.5;13.1;14.0;9.5;4.7;4.9;3.0;3.0
226;Macho;7;84;1.6;7;6.5;4.9;3.5;15.0;15.0;10.1;4.9;4.8;3.5;3.0
227;Macho;7;93;1.4;8;7.0;6.7;2.4;16.0;14.7;11.7;3.8;3.9;3.6;2.9
7;Femea;14;138;1.3;7.4;5.0;7.1;3.2;18.5;17.8;12.8;3.9;5.0;2.8;2.7
10;Femea;14;186;1.6;8.0;6.7;6.9;5.2;19.9;19.6;12.6;4.7;4.5;3.4;4.1
11;Macho;14;158;1.4;7.5;6.0;7.0;3.0;20.0;12.0;13.0;4.0;5.0;3.5;4.0
16;Macho;14;187;1.8;7.3;6.5;7.5;4.8;18.0;17.0;13.0;5.0;5.3;4.3;3.5
17;Femea;14;138;1.4;6.9;4.4;9.1;4.4;19.1;15.9;12.9;4.8;4.8;2.9;2.7
19;Macho;14;127;1.6;7.6;4.9;7.3;3.4;17.3;17.6;10.9;4.0;3.8;2.7;2.9
20;Macho;14;145;2.3;6.9;8.1;7.2;4.3;17.8;16.6;12.0;4.3;5.9;4.4;4.1
25;Macho;14;149;1.5;7.6;6.0;7.5;2.5;18.0;11.0;12.5;4.0;5.0;3.5;4.0
26;Macho;14;162;1.7;8.0;7.0;7.0;3.0;21.0;12.0;13.0;5.0;5.2;4.0;4.2
31;Macho;14;156;1.1;5.8;5.0;5.9;3.8;16.6;14.4;12.8;3.6;3.7;3.4;2.8
39;Femea;14;155;1.8;8.2;6.6;7.2;4.2;19.4;19.0;13.1;4.4;4.8;4.0;4.2
47;Femea;14;168;1.1;6.7;7.2;6.3;3.6;19.6;18.3;11.9;3.8;4.7;2.9;3.1
57;Macho;14;164;1.6;7.2;5.3;9.2;4.0;18.9;19.1;11.9;4.8;5.5;3.9;2.9
62;Macho;14;190;1.5;8.0;7.2;15.7;3.0;19.6;15.0;13.6;4.5;6.0;4.0;3.5
