ANIMAL;SEXO;IDADE;PESO;BICO;CIRCFCABECA;PESCOCO;ASA;TULIPA;DORSO;VENTRE;CIRCFABDOM;SOBRECOXA;COXA;CANELA;UNHAMAIOR;DATA_MEDICAO;DEDOMAIOR;PESO_ANTERIOR;GANHO_PESO
150;Macho;80.0;885.0;2.2;12.3;20.6;16.0;8.2;50.0;35.6;29.7;11.9;12.6;7.9;8.9;23-08-2024;;750.0;135.0
151;Macho;80.0;1230.0;2.0;13.5;18.0;18.0;7.0;46.0;43.0;33.0;13.0;13.5;8.5;7.5;23-08-2024;;1105.0;125.0
152;Macho;80.0;1080.0;2.5;11.0;17.0;16.5;8.0;45.0;45.0;32.0;12.5;14.0;8.0;8.2;23-08-2024;;880.0;200.0
153;Fêmea;80.0;1335.0;2.8;14.0;13.0;12.0;7.0;39.0;39.0;38.0;11.0;11.0;6.5;5.5;23-08-2024;;1065.0;270.0
154;Fêmea;80.0;1220.0;2.5;10.0;17.0;16.0;8.0;4.0;45.5;35.0;10.0;13.5;7.0;7.2;23-08-2024;;995.0;225.0
155;Macho;80.0;129.0;2.6;12.1;21.6;15.8;8.6;52.0;36.8;34.0;12.4;13.4;8.7;8.1;23-08-2024;;1160.0;-1031.0
156;Fêmea;80.0;1140.0;2.4;12.2;21.4;16.8;8.8;47.0;42.7;33.6;12.2;12.7;8.7;7.2;23-08-2024;;895.0;245.0
157;Macho;80.0;1135.0;2.3;11.5;15.0;15.0;7.0;47.0;37.5;34.0;11.0;12.0;7.0;7.5;23-08-2024;;1005.0;130.0
159;Macho;80.0;1075.0;3.0;14.0;14.5;14.0;6.0;42.0;36.0;36.0;12.5;11.5;8.0;7.0;23-08-2024;;920.0;155.0
160;Macho;80.0;1250.0;2.2;14.0;17.0;18.0;8.0;44.0;43.0;34.0;13.0;14.0;9.0;8.5;23-08-2024;;1025.0;225.0
161;Macho;80.0;1025.0;1.7;11.5;14.0;16.5;7.0;41.0;41.0;32.0;13.0;12.0;8.0;7.0;23-08-2024;;775.0;250.0
162;Macho;80.0;1190.0;2.3;12.1;18.0;117.0;7.0;44.0;44.0;35.5;13.0;13.0;8.5;8.7;23-08-2024;;990.0;200.0
163;Fêmea;80.0;1385.0;3.0;12.0;13.0;12.5;6.5;41.0;38.5;36.8;12.8;11.5;7.5;5.5;23-08-2024;;1130.0;255.0
164;Macho;80.0;1145.0;2.6;12.6;18.5;11.4;7.8;42.7;38.5;31.7;11.0;13.5;8.1;7.6;23-08-2024;;980.0;165.0
165;Macho;80.0;1155.0;2.1;13.0;18.0;18.0;7.0;46.0;44.0;33.0;14.0;15.0;9.0;8.0;23-08-2024;;905.0;250.0
166;Macho;80.0;905.0;2.3;11.5;16.0;16.0;8.0;48.0;43.0;31.5;11.0;14.0;7.0;8.0;23-08-2024;;730.0;175.0
167;Fêmea;80.0;1435.0;2.3;11.0;15.0;17.0;7.0;38.0;48.0;36.0;11.0;12.0;7.0;9.0;23-08-2024;;1175.0;260.0
168;Macho;80.0;1320.0;2.2;11.9;20.2;15.8;7.2;44.2;36.1;35.1;11.3;12.1;9.3;8.7;23-08-2024;;1170.0;150.0
169;Fêmea;80.0;1000.0;2.0;11.6;12.1;14.9;7.9;43.4;40.8;29.6;9.8;11.2;6.0;6.6;23-08-2024;;780.0;220.0
170;Macho;80.0;1185.0;3.0;13.5;9.5;14.3;7.6;39.0;29.0;33.0;12.0;10.5;8.0;5.0;23-08-2024;;1000.0;185.0
171;Macho;80.0;1185.0;2.2;10.5;16.0;16.0;7.0;41.0;40.0;35.0;10.0;11.0;7.5;8.1;23-08-2024;;1005.0;180.0
172;Macho;80.0;1100.0;3.2;13.5;21.1;17.8;9.7;47.0;44.6;31.2;13.5;13.6;8.6;8.2;23-08-2024;;950.0;150.0
173;Fêmea;80.0;1460.0;2.6;12.2;18.6;15.6;8.2;43.9;36.3;35.0;11.8;12.4;8.5;7.5;23-08-2024;;1325.0;135.0
174;Macho;80.0;1300.0;2.5;11.5;15.0;18.0;7.5;49.0;32.5;43.0;12.0;12.0;7.5;9.0;23-08-2024;;1085.0;215.0
175;Macho;80.0;1115.0;3.5;12.5;15.0;13.0;7.0;43.0;38.0;32.0;13.0;12.0;9.0;6.0;23-08-2024;;1000.0;115.0
176;Macho;80.0;1195.0;2.6;11.5;17.0;15.0;7.0;39.0;39.5;33.0;11.0;10.5;7.0;7.0;23-08-2024;;865.0;330.0
177;Macho;80.0;1285.0;2.5;11.5;17.0;17.0;7.5;46.0;52.0;32.0;12.0;12.0;7.5;8.5;23-08-2024;;1105.0;180.0
178;Fêmea;80.0;1220.0;3.5;12.5;13.0;13.0;7.0;43.0;35.0;38.0;11.0;9.0;7.0;5.5;23-08-2024;;1105.0;115.0
179;Macho;80.0;1285.0;2.2;11.3;18.5;15.6;8.6;49.0;41.8;33.3;13.4;12.2;8.1;7.9;23-08-2024;;795.0;490.0
180;Macho;80.0;985.0;2.0;12.0;16.0;18.0;8.0;43.0;42.0;32.0;13.0;13.0;7.5;7.0;23-08-2024;;820.0;165.0
181;Macho;80.0;1385.0;2.8;12.2;20.5;17.8;8.1;46.0;48.2;41.5;12.3;10.9;8.0;8.9;23-08-2024;;1195.0;190.0
182;Macho;80.0;1145.0;2.7;13.0;16.5;15.8;6.7;42.0;40.0;37.0;12.0;12.0;5.0;5.5;23-08-2024;;910.0;235.0
183;Fêmea;80.0;1160.0;2.0;12.0;15.0;18.0;7.0;45.0;41.0;34.0;11.0;14.0;8.0;8.0;23-08-2024;;900.0;260.0
184;Macho;80.0;1500.0;2.3;12.5;16.0;17.0;7.0;46.0;40.0;38.0;14.0;13.0;8.0;8.7;23-08-2024;;1360.0;140.0
185;Macho;80.0;1240.0;3.2;13.0;13.0;15.5;5.8;41.0;39.5;36.0;13.8;14.5;8.9;5.7;23-08-2024;;1010.0;230.0
186;Macho;80.0;1095.0;2.6;12.6;19.1;16.7;7.6;41.3;35.0;30.3;11.5;11.2;7.6;8.2;23-08-2024;;920.0;175.0
188;Fêmea;80.0;1265.0;2.3;10.0;18.5;15.2;7.3;48.0;40.0;31.0;11.2;10.3;7.6;7.1;23-08-2024;;1090.0;175.0
